# name	objID	ra	dec	type	cModelMag_u	cModelMag_g	cModelMag_r	cModelMag_i	cModelMag_z	fracDeV_u	fracDeV_g	fracDeV_r	fracDeV_i	fracDeV_z	extinction_u	extinction_g	extinction_r	extinction_i	extinction_z
8454-1901	1.23766135860894E+018	154.97466151	44.33795758	GALAXY	19.215052	17.453323	16.631884	16.336069	16.136728	0.083418	0.652452	0.794139	0.781281	0.872547	0.067281	0.049504	0.035905	0.027225	0.019303
8905-1901	1.23766772536233E+018	82.96713614	4.0768761	STAR	16.765467	15.735384	15.723741	15.771727	15.802857	1	0	0	1	0.947671	1.155056	0.849879	0.616403	0.4674	0.331392
8270-1901	1.23767114040823E+018	177.88417511	1.55984815	STAR	18.225058	16.386639	15.661492	15.414594	15.278741	0	0	1	1	1	0.103726	0.07632	0.055354	0.041973	0.029759
8797-1901	1.23766219560269E+018	192.6641685	42.93675355	STAR	21.375523	18.909033	17.321074	15.345537	14.276693	1	0	1	1	1	0.091565	0.067373	0.048864	0.037052	0.026271
8798-1901	1.2376650238283E+018	176.63117263	33.6826648	STAR	18.934832	16.351244	14.891674	14.000728	13.545166	1	0	1	0	0	0.090995	0.066953	0.04856	0.036822	0.026107
8914-1901	1.23766553171611E+018	224.15436048	21.82089725	GALAXY	24.634645	25.114374	16.680824	16.172249	22.826897	1	1	0.876785	1	1	0.211387	0.155537	0.112808	0.085539	0.060648
8716-1901	1.23766378795559E+018	119.77958738	52.74722818	GALAXY	19.446003	17.778542	17.182051	16.95257	16.65196	0.812177	0.951419	0.724597	0.603841	0.647138	0.210539	0.154912	0.112355	0.085196	0.060405
8717-1901	1.23765465363363E+018	117.45599197	34.88391286	GALAXY	20.162121	17.4447	16.199942	15.772064	15.566271	1	1	1	1	1	0.257419	0.189407	0.137373	0.104166	0.073855
8239-1901	1.23766378795323E+018	115.66903659	48.02227649	GALAXY	18.315445	17.325151	16.771931	16.503162	16.218502	0.179733	0.037793	0.062064	0.072038	0.038955	0.382272	0.281272	0.204002	0.154689	0.109676
8724-1901	1.23766093609068E+018	131.28765896	54.97833232	GALAXY	16.841328	15.096276	14.316032	13.90828	13.647104	0.909741	1	1	1	1	0.173274	0.127493	0.092469	0.070116	0.049713
8714-1901	1.2376512740315E+018	120.13854158	47.37087593	GALAXY	18.723286	16.824621	16.094816	15.658693	15.372054	0	0	0	0	0	0.248847	0.183099	0.132799	0.100697	0.071396
8711-1901	1.23766378902913E+018	118.26652548	52.74329052	GALAXY	18.695196	17.046614	16.301781	15.91619	15.648024	1	1	1	1	1	0.259897	0.19123	0.138696	0.105169	0.074566
8241-1901	1.23767380704598E+018	125.17839536	19.44064723	GALAXY	16.815033	15.100924	14.254645	13.829375	13.451212	0.629015	0.776738	0.8328	0.859029	0.876078	0.223495	0.164445	0.119269	0.090438	0.064122
8712-1901	1.23766378956725E+018	119.9737022	55.37489879	GALAXY	17.148575	15.502668	14.668646	14.240442	13.96657	0.883056	0.880905	0.961361	0.983531	0.998472	0.214504	0.15783	0.114471	0.0868	0.061542
8720-1901	1.23766353079481E+018	121.14792165	50.70861038	GALAXY	17.363066	15.983414	15.298003	14.925241	14.69273	1	0.944972	0.973129	1	1	0.266003	0.195723	0.141954	0.10764	0.076318
8890-1901	1.23765818892648E+018	87.13055077	0.91350075	STAR	19.337767	16.965313	15.552425	14.794201	13.422736	0	1	1	0	1	4.555611	3.351975	2.431132	1.843454	1.307032
8895-1901	1.23766772804964E+018	85.06799025	-2.62604532	STAR	18.427296	16.475906	15.444339	14.948097	14.627345	0	0	0	0	0	1.508263	1.109765	0.804894	0.610327	0.432729
8924-1901	1.23764872174364E+018	125.26060677	0.37718464	STAR	15.367123	16.080324	15.444926	15.829144	13.515535	1	0.738929	0.743773	0.993522	1	0.214859	0.158091	0.114661	0.086944	0.061644
8921-1901	1.2376508053464E+018	163.24213316	-1.78018304	STAR	14.876406	13.633275	15.264648	13.022352	12.963048	1	0.196686	0.630788	0.607745	1	0.186564	0.137272	0.099561	0.075494	0.053526
8591-1901	1.23765913381811E+018	213.52008706	52.66332854	GALAXY	18.526972	17.029446	16.21899	15.872309	15.634173	1	1	1	1	1	0.045763	0.033672	0.024422	0.018518	0.01313
8928-1901	1.23766195024632E+018	165.64275312	12.18786793	STAR	17.67371	15.009938	13.940761	14.800556	13.203249	0	1	0.707255	0	1	0.076934	0.056607	0.041056	0.031132	0.022073
8896-1901	1.23766333161223E+018	84.49478913	-1.25259542	STAR	17.429361	16.017172	15.966831	15.986332	15.985118	1	1	1	1	0	0.980321	0.721311	0.523155	0.396692	0.28126
8925-1901	1.23765366471138E+018	125.73957162	1.26374963	STAR	15.818925	14.056318	14.918397	14.537946	13.047829	1	0.355472	0.731618	0.775509	0.991004	0.209577	0.154205	0.111842	0.084807	0.060129
8911-1901	1.23765361425993E+018	143.32275393	56.07377698	STAR	16.975653	14.523576	15.461965	14.599834	12.810642	1	0.377331	0.713906	0.905836	0.912599	0.110482	0.081291	0.058959	0.044707	0.031698
8897-1901	1.23767155808345E+018	83.99579482	-2.37171983	STAR	19.427929	16.700489	15.283438	17.830751	14.220244	0	0	0.844059	1	0	0.865482	0.636813	0.46187	0.350222	0.248312
8592-1901	1.23765932548299E+018	222.9597596	53.68697215	GALAXY	18.087572	16.349827	15.574589	15.177963	14.896065	0.901685	0.967639	0.948786	0.983202	1	0.067841	0.049917	0.036204	0.027452	0.019464
8926-1901	1.23766714232924E+018	137.96853551	23.35620932	STAR	15.31967	13.899917	14.30903	14.412899	13.074099	1	0.794387	0.93871	0.966246	1	0.270382	0.198944	0.144291	0.109411	0.077574
8916-1901	1.23767176532184E+018	190.17961848	-3.6394155	STAR	17.673576	15.97104	15.2356	14.961948	14.81204	0	0	0	1	1	0.16437	0.120942	0.087717	0.066513	0.047159
8920-1901	1.23765494945179E+018	242.98145668	52.14961118	STAR	17.427711	16.3773	16.131716	16.049608	16.061518	0	1	0	0	0	0.12941	0.095219	0.069061	0.052367	0.037129
8634-1901	1.2376557450992E+018	240.15328059	5.20520754	STAR	16.768595	15.253865	14.623604	14.368443	14.244924	0.97845	0.953761	0.887076	0.983232	0	0.263615	0.193966	0.14068	0.106673	0.075633
8635-1901	1.23766219775207E+018	239.7307351	6.18389186	STAR	16.264036	14.74896	14.708757	13.952732	13.851544	0	0.115617	0.919345	0.88133	0.830326	0.25348	0.186508	0.135271	0.102572	0.072725
8891-1901	1.23767428378493E+018	86.40987975	1.20913799	STAR	17.850851	15.898556	14.912313	14.504197	14.137465	1	0.397042	0	1	1	2.667645	1.962827	1.423606	1.079477	0.765363
8930-1901	1.23767112912654E+018	176.83406627	1.82394733	STAR	16.871864	15.607953	15.593203	15.617438	15.663923	1	1	0	1	1	0.141609	0.104195	0.075571	0.057303	0.040629
8640-1901	1.23766219775207E+018	239.7307351	6.18389186	STAR	16.264036	14.74896	14.708757	13.952732	13.851544	0	0.115617	0.919345	0.88133	0.830326	0.25348	0.186508	0.135271	0.102572	0.072725
8929-1901	1.23765076132115E+018	189.99176132	-2.8601843	STAR	17.702366	16.291422	15.678888	15.415995	15.26586	1	1	1	1	1	0.180467	0.132786	0.096308	0.073027	0.051777
8918-1901	1.23766181817097E+018	192.71212832	13.40400477	STAR	17.380219	14.924316	15.578716	14.735691	12.674145	0.288341	0	0	0.269201	0	0.138814	0.102138	0.074079	0.056172	0.039827
8949-1901	1.23766732433457E+018	194.85756584	28.18698275	GALAXY	18.706736	17.152962	16.480062	16.117125	15.91217	1	1	1	1	1	0.066343	0.048814	0.035404	0.026846	0.019034
8952-1901	1.23766544098243E+018	203.96504107	27.86684609	GALAXY	17.328703	15.712016	14.943427	14.533566	14.182294	0.8771	0.946324	0.947216	0.966003	0.97529	0.068224	0.050198	0.036408	0.027607	0.019574
8600-1901	1.23765933031319E+018	242.58509346	43.0097553	GALAXY	17.25036	16.182364	15.60824	15.322288	15.033563	0.781196	0.55447	0.45686	0.457258	0.533442	0.05599	0.041197	0.02988	0.022657	0.016064
8934-1901	1.23766744458573E+018	195.43406541	28.21436118	GALAXY	18.604763	17.029819	16.291756	15.927339	15.615716	0.409191	0.467825	0.502805	0.497994	0.453838	0.04948	0.036407	0.026405	0.020022	0.014196
8333-1901	1.2376613607656E+018	215.70421433	42.3956559	GALAXY	19.286333	17.513407	16.819204	16.473427	16.173672	0.824615	0.889835	0.871844	0.884237	0.923073	0.044854	0.033003	0.023937	0.018151	0.012869
8547-1901	1.23766138706933E+018	218.11319671	52.73846228	GALAXY	18.710594	17.132906	16.318356	15.845852	15.483952	1	0.989368	0.916098	0.930892	0.990517	0.042749	0.031455	0.022814	0.017299	0.012265
8978-1901	1.23765550242005E+018	248.91466838	42.46129102	GALAXY	17.261177	15.55145	14.781709	14.414884	14.241853	1	1	1	1	1	0.052577	0.038686	0.028058	0.021276	0.015085
8972-1901	1.23766778120182E+018	132.10649346	12.90338328	STAR	18.50201	16.337067	15.439411	15.044185	14.834792	1	1	0.86168	0	0	0.133739	0.098404	0.071371	0.054118	0.038371
8979-1901	1.23765932441692E+018	242.31862352	41.74573472	GALAXY	16.602459	14.84194	14.047212	13.655134	13.445105	1	1	1	1	1	0.064877	0.047736	0.034622	0.026253	0.018614
8973-1901	1.23767112537034E+018	132.68996038	11.92656228	STAR	18.245178	16.243862	15.505819	15.253815	15.133554	1	0	0.909156	1	1	0.17737	0.130507	0.094655	0.071774	0.050889
8962-1901	1.2376553687582E+018	215.97597628	57.6531539	STAR	17.29595	16.182354	15.727566	15.525049	15.437904	0	1	1	0	0	0.0417	0.030682	0.022253	0.016874	0.011964
8963-1901	1.23765932709138E+018	216.18408042	57.2270347	STAR	17.309082	16.245773	15.864475	15.730801	15.709022	0	0	0	1	0	0.050167	0.036913	0.026772	0.0203	0.014393
8595-1901	1.23766138599585E+018	218.26892745	51.52241395	GALAXY	18.568493	17.121374	16.443569	16.069569	15.849174	0.848711	0.80189	0.779015	0.857796	0.76028	0.041774	0.030737	0.022293	0.016904	0.011985
8964-1901	1.23765536875885E+018	218.27331032	57.01824627	STAR	16.987137	15.21346	14.552818	14.344032	14.255801	0	0.900953	1	1	0.929756	0.077664	0.057144	0.041446	0.031427	0.022282
8816-1901	1.2376650238283E+018	176.63117263	33.6826648	STAR	18.934832	16.351244	14.891674	14.000728	13.545166	1	0	1	0	0	0.090995	0.066953	0.04856	0.036822	0.026107
8799-1901	1.23766512800471E+018	178.44266144	34.60176639	STAR	16.113722	14.61375	15.227925	15.797581	13.594086	1	1	0.799798	1	1	0.105028	0.077279	0.056049	0.0425	0.030133
8966-1901	1.23765153872603E+018	242.94856065	51.95716851	STAR	17.282026	16.398361	16.12504	16.031515	15.995704	1	0	1	0	0	0.130916	0.096326	0.069864	0.052976	0.03756
8967-1901	1.23765125204994E+018	242.07670407	50.67119871	STAR	16.647514	14.618925	14.2705	13.532347	13.348465	1	1	0.568804	1	1	0.124063	0.091284	0.066207	0.050203	0.035594
8969-1901	1.23766222408935E+018	241.68321426	23.78035841	STAR	15.672008	15.592805	15.497207	15.064692	12.528771	1	0.644193	0.793874	1	0.421723	0.36824	0.270948	0.196514	0.14901	0.10565
8959-1901	1.23766732378394E+018	159.69578774	25.79643402	STAR	18.702816	16.130289	16.00704	14.335085	14.058094	1	1	0.784627	1	1	0.119251	0.087744	0.063639	0.048256	0.034214
8917-1901	1.23765076132115E+018	189.99176132	-2.8601843	STAR	17.702366	16.291422	15.678888	15.415995	15.26586	1	1	1	1	1	0.180467	0.132786	0.096308	0.073027	0.051777
8975-1901	1.23767126280916E+018	132.73853577	12.15210402	STAR	17.167356	14.833152	13.83423	15.235594	13.326346	0	0	0	1	0	0.138379	0.101818	0.073847	0.055996	0.039702
8974-1901	1.23767096591837E+018	130.70724175	12.59862224	STAR	17.771494	16.487408	16.393469	16.394283	16.423094	0	0	0	0	0	0.338153	0.24881	0.180457	0.136835	0.097018
8987-1901	1.23766409182806E+018	136.24006356	27.72763405	GALAXY	18.33984	17.247629	16.720716	16.462576	16.258476	1	0.999276	0.944372	0.923818	0.852522	0.150361	0.110634	0.080241	0.060844	0.043139
8942-1901	1.23766034338985E+018	123.13472513	26.89361911	GALAXY	18.590279	16.84972	15.990376	15.536527	15.113077	0.326032	0.471422	0.507053	0.565949	0.59251	0.158105	0.116332	0.084374	0.063978	0.045361
8943-1901	1.23766466897209E+018	154.97833472	36.32574333	GALAXY	17.121088	15.704195	15.043657	14.704574	14.329613	0.824268	0.816703	0.820768	0.847307	0.942809	0.054252	0.039918	0.028952	0.021953	0.015565
8948-1901	1.23765762898703E+018	165.73913299	50.67029179	GALAXY	17.366035	15.313125	14.578955	14.127088	14.002832	1	1	1	1	1	0.067947	0.049995	0.03626	0.027495	0.019494
8939-1901	1.23766409450743E+018	124.44792301	23.47652059	GALAXY	17.61533	16.012136	15.265363	14.895575	14.663946	0.969199	0.956647	0.990555	0.972878	0.952619	0.293762	0.216147	0.156768	0.118872	0.084282
8946-1901	1.23765861251783E+018	169.28712269	48.53878665	GALAXY	18.009708	16.133257	15.411197	15.03108	14.751853	1	1	1	1	1	0.076819	0.056522	0.040995	0.031085	0.02204
