# name	objID	ra	dec	type	cModelMag_u	cModelMag_g	cModelMag_r	cModelMag_i	cModelMag_z	fracDeV_u	fracDeV_g	fracDeV_r	fracDeV_i	fracDeV_z	extinction_u	extinction_g	extinction_r	extinction_i	extinction_z
7443-12701	1.23766250107575E+018	230.50745707	43.53232863	GALAXY	17.087011	15.470955	14.874091	14.556558	14.330127	1	1	1	1	1	0.120546	0.088697	0.06433	0.04878	0.034585
7444-12701	1.23766522623132E+018	183.93489121	32.07177305	STAR	17.703823	16.800797	16.447424	16.307583	16.282713	0	0	1	1	1	0.060643	0.04462	0.032362	0.024539	0.017399
7495-12701	1.2376673232647E+018	204.57952188	26.19845738	GALAXY	18.251835	16.436588	15.697565	15.356338	15.177068	1	1	1	1	1	0.053687	0.039502	0.02865	0.021725	0.015403
7815-12701	1.23765300919462E+018	318.02637697	11.34536404	GALAXY	18.005547	16.808643	16.261065	16.028486	15.866681	0	0	0	0	0	0.518783	0.381715	0.276852	0.209928	0.148842
8115-12701	1.2376712617347E+018	131.33776032	10.99688234	STAR	16.996216	15.426991	14.979666	15.54794	14.776567	1	1	1	1	0	0.273451	0.201203	0.145929	0.110654	0.078455
8112-12701	1.23766850328619E+018	226.721815	66.31861231	STAR	15.743421	14.435221	14.001389	13.872087	13.857059	0	0	1	0	0	0.130804	0.096244	0.069804	0.052931	0.037528
8120-12701	1.23767126120825E+018	155.40729281	15.26915102	STAR	15.358628	16.029451	14.15247	13.745781	13.747607	0.04111	1	0.919474	0.374632	1	0.279348	0.205542	0.149076	0.11304	0.080147
8098-12701	1.23766219506575E+018	192.24811716	42.61968601	STAR	18.727345	17.649446	17.63607	17.663721	17.730074	1	0	1	0	0	0.099727	0.073378	0.05322	0.040355	0.028612
8266-12701	1.23767199134253E+018	206.13122743	-0.84817866	STAR	16.902502	15.769492	15.34716	15.200431	15.156744	0	0	0	0	0	0.122925	0.090447	0.0656	0.049742	0.035268
8116-12701	1.2376712617347E+018	131.33776032	10.99688234	STAR	16.996216	15.426991	14.979666	15.54794	14.776567	1	1	1	1	0	0.273451	0.201203	0.145929	0.110654	0.078455
8269-12701	1.23766181548628E+018	191.87398324	11.18255724	STAR	16.997465	15.841927	15.454576	15.315825	15.287053	0	0	0	0	0	0.184793	0.135969	0.098616	0.074778	0.053018
8264-12701	1.2376621939922E+018	192.86755089	41.60216934	STAR	15.114452	13.981757	13.684001	13.588734	13.573039	0	1	0.838915	0	0	0.055804	0.04106	0.02978	0.022581	0.01601
8341-12701	1.23766136075715E+018	189.03201289	46.64334633	GALAXY	17.497662	16.131413	15.599206	15.351518	15.090702	0	0	0	0	0	0.112984	0.083133	0.060295	0.04572	0.032416
8329-12701	1.23766136183842E+018	213.4168047	43.86659408	GALAXY	16.077982	14.339993	13.795448	13.425412	13.123262	0.1386	0.373081	0.461066	0.536128	0.6612	0.077561	0.057068	0.041391	0.031385	0.022253
8319-12701	1.2376614353864E+018	199.60876242	47.22322889	GALAXY	17.260899	15.478114	14.635663	14.24822	14.12509	1	1	1	1	1	0.084228	0.061974	0.044949	0.034083	0.024166
8243-12701	1.23765127242416E+018	128.68762983	52.7157437	GALAXY	16.442297	14.70675	13.95859	13.530064	13.095188	0.076182	0.307469	0.451369	0.516376	0.66323	0.195903	0.144143	0.104545	0.079273	0.056206
8439-12701	1.23765763272527E+018	143.00993616	48.551247	GALAXY	17.383591	16.233612	15.807564	15.70949	15.46998	0.030088	0.074769	0.129013	0	0.137949	0.086039	0.063306	0.045915	0.034816	0.024685
8326-12701	1.2376582055934E+018	213.14915812	47.25305742	GALAXY	16.531971	15.075899	14.467761	13.989767	13.527414	0.345723	0.530632	0.62799	0.749219	0.949391	0.075266	0.05538	0.040166	0.030457	0.021594
8117-12701	1.23766721158454E+018	138.28006815	21.61295709	STAR	17.380125	15.953187	15.462646	15.281117	15.224407	1	0	0.860977	1	0.960485	0.241985	0.17805	0.129137	0.097921	0.069427
8602-12701	1.23765933085203E+018	247.0481931	39.82190772	GALAXY	16.640032	14.24962	13.45019	13.066404	12.881303	1	1	1	1	1	0.048464	0.035659	0.025863	0.019611	0.013904
8588-12701	1.2376554728951E+018	249.47177427	39.24979223	GALAXY	16.713169	15.263416	14.812586	14.435513	14.048117	0.429986	0.565618	0	0	0	0.057575	0.042363	0.030725	0.023298	0.016519
8615-12701	1.23766354314134E+018	319.38956875	-0.13472256	GALAXY	18.074881	16.471397	15.839747	15.466973	15.253431	1	1	1	1	1	0.367743	0.270582	0.196249	0.148809	0.105508
7991-12701	1.2376512246359E+018	257.75233873	56.93545067	GALAXY	16.184223	15.092741	14.418573	14.072185	13.646382	0	0	0	0.023577	0.149772	0.114868	0.084519	0.0613	0.046482	0.032956
7977-12701	1.23765294208981E+018	332.60204367	11.7130595	GALAXY	17.760639	16.548389	15.835069	15.365771	15.107633	0.034037	0	0.00288304	0.04968	0.049434	0.487308	0.358556	0.260055	0.197192	0.139811
7975-12701	1.23765649402416E+018	323.4663912	10.07183382	GALAXY	18.851318	16.84177	15.814101	15.363631	14.927299	0.604185	0.73369	0.799594	0.796731	0.927732	0.239757	0.176411	0.127948	0.097019	0.068788
7990-12701	1.23765989671089E+018	263.15015251	56.84531739	GALAXY	16.770563	15.774967	15.161965	14.925958	14.481792	0.460708	0.15253	0.233112	0.219491	0.416724	0.191678	0.141035	0.10229	0.077563	0.054993
8267-12701	1.23767199134253E+018	206.13122743	-0.84817866	STAR	16.902502	15.769492	15.34716	15.200431	15.156744	0	0	0	0	0	0.122925	0.090447	0.0656	0.049742	0.035268
8459-12701	1.2376606370661E+018	147.37900719	42.13027511	GALAXY	18.811131	16.746542	15.898703	15.515343	15.354429	1	1	1	1	1	0.07835	0.057649	0.041812	0.031705	0.022479
8483-12701	1.23765513037382E+018	244.18805694	48.60040796	GALAXY	18.300028	16.979681	16.749178	16.245838	16.261847	0.160107	0.328272	0.397011	0.38453	0.402612	0.060353	0.044408	0.032208	0.024422	0.017316
8271-12701	1.23766850328619E+018	226.721815	66.31861231	STAR	15.743421	14.435221	14.001389	13.872087	13.857059	0	0	1	0	0	0.130804	0.096244	0.069804	0.052931	0.037528
8618-12701	1.23765300919461E+018	317.97942698	11.37939809	GALAXY	18.721359	16.756924	15.839164	15.389213	14.982912	0	0	0.0792	0.114204	0.210903	0.531525	0.391091	0.283652	0.215085	0.152498
8560-12701	1.23767200422317E+018	290.13860006	37.83674944	STAR	17.392981	14.739878	13.719557	13.966763	12.826097	0	1	0	0	1	0.785616	0.578049	0.419249	0.317904	0.225398
8051-12701	1.23767112805286E+018	177.64804679	1.63100358	STAR	16.195349	14.9484	15.079185	15.225852	15.318619	1	1	0	0	0	0.107335	0.078976	0.05728	0.043434	0.030795
8317-12701	1.2376618498611E+018	192.26990747	43.83319855	GALAXY	17.837526	15.60264	14.664399	14.232273	14.000126	0.747003	0.885678	0.904983	0.918916	0.819206	0.089428	0.0658	0.047724	0.036187	0.025657
8261-12701	1.2376614332338E+018	182.35627908	46.54939077	GALAXY	18.096893	16.429453	15.54318	15.151606	14.879829	1	1	1	1	1	0.082064	0.060382	0.043794	0.033208	0.023545
8480-12701	1.23766744404866E+018	194.89877316	27.95926545	GALAXY	14.846894	12.916471	12.116125	11.644638	11.37049	0.661262	0.710781	0.683788	0.694145	0.73434	0.046966	0.034557	0.025064	0.019005	0.013475
8479-12701	1.23766744404872E+018	195.03386014	27.97694525	GALAXY	14.492923	12.428922	11.605515	11.377142	10.98934	0.820915	0.736529	0.762697	0.669506	0.823665	0.049417	0.036361	0.026372	0.019997	0.014178
8451-12701	1.23766187186068E+018	166.12938262	42.62452984	GALAXY	19.521708	17.558409	16.588491	16.101912	15.866137	1	0.968219	1	1	1	0.041451	0.030499	0.02212	0.016773	0.011892
8482-12701	1.23766861066083E+018	244.29844202	49.96449231	GALAXY	17.012844	14.802106	14.01818	13.610058	13.43665	0.969163	1	1	1	1	0.088107	0.064828	0.047019	0.035653	0.025278
8082-12701	1.23766629948123E+018	48.89645359	-1.01628792	GALAXY	16.251993	15.062113	14.421576	14.001763	13.81771	0.285304	0.484898	0.698679	0.802994	0.900861	0.37014	0.272345	0.197527	0.149779	0.106195
8114-12701	1.23767643985333E+018	13.28825136	38.47772825	STAR	17.774097	16.755133	16.493025	16.464962	16.44072	1	1	1	1	1	0.224522	0.165201	0.119818	0.090854	0.064417
8121-12701	1.23765294369564E+018	321.29439939	11.25860954	STAR	18.443163	17.206915	16.624678	16.354271	16.195816	0	1	0	0	0	0.475067	0.34955	0.253523	0.192239	0.1363
8143-12701	1.23765119081513E+018	119.26903189	40.99516214	GALAXY	18.242912	16.452723	15.538091	15.093318	14.943278	1	1	1	1	1	0.235103	0.172986	0.125464	0.095136	0.067452
8256-12701	1.23766196742344E+018	164.58520606	40.7882018	GALAXY	17.936731	16.623394	16.03771	15.743753	15.406333	0	0	0	0.016569	0.071917	0.065667	0.048317	0.035044	0.026573	0.01884
8052-12701	1.23767112805286E+018	177.64804679	1.63100358	STAR	16.195349	14.9484	15.079185	15.225852	15.318619	1	1	0	0	0	0.107335	0.078976	0.05728	0.043434	0.030795
8249-12701	1.23765760696615E+018	136.15621055	44.87474642	GALAXY	19.088486	17.39591	16.992098	16.752653	16.357777	0	0	0.070035	0.130758	0.333669	0.100029	0.0736	0.053381	0.040477	0.028699
8274-12701	1.23766196742344E+018	164.58520606	40.7882018	GALAXY	17.936731	16.623394	16.03771	15.743753	15.406333	0	0	0	0.016569	0.071917	0.065667	0.048317	0.035044	0.026573	0.01884
8258-12701	1.23766187347136E+018	165.93512408	43.85776636	GALAXY	16.661455	15.519555	14.978448	14.664746	14.388112	0.146225	0.171083	0.303472	0.387899	0.549004	0.064168	0.047214	0.034244	0.025966	0.01841
8252-12701	1.2376572440458E+018	144.23902915	48.29397416	GALAXY	19.072859	18.056501	17.811659	17.501341	17.770771	0.068488	0.025876	0	0.044831	0.040203	0.110408	0.081237	0.05892	0.044677	0.031677
8259-12701	1.23766187132826E+018	179.96259367	43.74063837	GALAXY	17.280399	16.301231	15.938087	15.741902	15.726335	0	0	0	0.016185	0	0.077208	0.056809	0.041203	0.031243	0.022152
8244-12701	1.23765438305016E+018	133.06812056	50.62728227	GALAXY	20.226835	17.851162	16.848257	16.407335	16.236639	0.534045	1	1	1	1	0.140272	0.103211	0.074857	0.056762	0.040245
8257-12701	1.23766063492445E+018	165.49582065	45.22803745	GALAXY	15.032992	14.143546	13.490977	13.117082	12.835209	0.887913	0.888803	0.880687	0.906418	0.882394	0.044817	0.032976	0.023917	0.018135	0.012858
8265-12701	1.23767112805227E+018	176.98631471	0.49224731	STAR	19.812735	17.320621	16.215132	15.831789	15.63943	0	0	0.708041	1	1	0.157575	0.115942	0.084091	0.063763	0.045209
8268-12701	1.23766181548628E+018	191.87398324	11.18255724	STAR	16.997465	15.841927	15.454576	15.315825	15.287053	0	0	0	0	0	0.184793	0.135969	0.098616	0.074778	0.053018
8440-12701	1.23765777554303E+018	135.06508562	40.29675165	GALAXY	16.385221	14.907291	13.976999	13.592014	13.42516	0.925802	0.867429	0.958759	1	1	0.098369	0.072379	0.052496	0.039806	0.028223
8453-12701	1.23765785606462E+018	151.30994116	46.65089109	GALAXY	16.650324	15.098975	14.491313	14.085108	13.841965	0.470337	0.193949	0.279471	0.34387	0.487905	0.064628	0.047552	0.034489	0.026152	0.018542
8611-12701	1.23765129872389E+018	262.25742954	60.08945433	GALAXY	16.38842	15.321643	14.917815	14.690512	14.597277	0.018488	0.110037	0.163516	0.200214	0.200613	0.139959	0.10298	0.07469	0.056635	0.040155
8131-12701	1.23766354850559E+018	111.10802869	38.94530611	GALAXY	16.517889	15.472943	15.147788	14.906207	14.882716	0.150166	0.162971	0.164402	0.22348	0.214573	0.317085	0.233308	0.169214	0.12831	0.090973
8083-12701	1.23766023977704E+018	50.50142325	-0.80708672	GALAXY	19.437374	17.981407	17.19857	16.690231	16.213926	0	0.147513	0.210086	0.270103	0.47915	0.32808	0.241398	0.175082	0.132759	0.094128
8138-12701	1.23766353079153E+018	115.63345302	44.23387423	GALAXY	17.599968	16.665543	16.157213	15.901241	15.775537	0.352857	0.139369	0.210888	0.216184	0.334486	0.192262	0.141464	0.102602	0.0778	0.055161
8081-12701	1.2376662994809E+018	48.19660718	-1.02285546	GALAXY	17.998114	16.262424	15.386537	15.073761	14.774774	0.907868	0.945623	0.97059	0.913804	1	0.379807	0.279458	0.202687	0.153691	0.108969
8452-12701	1.23765820557669E+018	155.55139249	46.89384561	GALAXY	18.262398	16.885431	16.464155	16.300009	16.415762	0.086355	0.120704	0.202316	0.211421	0.116601	0.058625	0.043135	0.031285	0.023723	0.01682
7995-12701	1.23767202516599E+018	321.78203992	50.5244096	STAR	17.732826	15.466124	14.570194	14.074041	13.705443	0	0	0	1	1	15.180714	11.169824	8.101288	6.142962	4.355436
8132-12701	1.23766378902408E+018	110.51719879	42.42137242	GALAXY	21.173647	18.270998	17.060299	16.524357	16.142197	0.490437	1	1	1	1	0.418617	0.308015	0.223398	0.169396	0.120104
8134-12701	1.23766391841011E+018	112.69859284	46.01016928	GALAXY	18.39784	16.703323	16.089993	15.864258	15.642907	0	0	0.043606	0.060679	0.066865	0.618841	0.455337	0.330249	0.250418	0.177549
8137-12701	1.2376733115028E+018	115.16692342	42.45392221	GALAXY	18.731468	17.386383	16.755428	16.390905	16.164782	0	0	0	0	0.027737	0.269748	0.198478	0.143953	0.109155	0.077392
8247-12701	1.23765763058886E+018	138.27508725	43.01341209	GALAXY	17.088289	16.210161	15.889012	15.665677	15.484708	0.014421	0.048331	0.087679	0.133676	0.301397	0.08861	0.065198	0.047287	0.035856	0.025423
8140-12701	1.23765127241813E+018	116.93030583	41.38638106	GALAXY	17.531963	15.649953	14.899066	14.595235	13.959909	0.969046	1	1	1	0.978287	0.217915	0.16034	0.116292	0.088181	0.062521
8626-12701	1.23765652999406E+018	263.52527993	56.79967729	GALAXY	17.158701	15.725933	14.932309	14.542698	14.236289	0.590934	0.750809	0.837271	0.916814	1	0.203372	0.149639	0.108531	0.082296	0.058349
8135-12701	1.23765149575355E+018	113.47224728	37.02591285	GALAXY	17.25148	15.233382	14.510495	14.131746	14.082609	0.93186	0.818986	0.978568	1	1	0.298185	0.219402	0.159129	0.120662	0.085551
8250-12701	1.23765762951525E+018	139.19315756	42.5067749	GALAXY	18.724119	16.768513	15.925353	15.510463	15.234813	0.941105	1	0.998524	0.992736	0.920727	0.085809	0.063138	0.045793	0.034723	0.024619
7999-12701	1.23766323336466E+018	345.54378991	58.89191476	STAR	14.289539	14.68233	14.745057	13.931836	11.850825	1	0.304861	0.035228	0.742407	0.890577	8.504493	6.257524	4.538478	3.441391	2.439989
8612-12701	1.23765495320714E+018	254.77929161	39.1341082	GALAXY	18.919643	17.58684	17.104591	16.756048	16.507338	0.278308	0.079165	0.010107	0.122162	0.110236	0.107322	0.078967	0.057273	0.043429	0.030791
8616-12701	1.23766345777866E+018	322.25314846	0.18259374	GALAXY	20.34417	18.09897	17.018469	16.567837	16.335386	1	1	1	1	1	0.236339	0.173896	0.126124	0.095636	0.067807
8141-12701	1.23766354689792E+018	116.73261074	44.26570016	GALAXY	16.319626	15.184666	14.45071	14.068399	13.895629	0	0.083677	0.285053	0.36742	0.375556	0.196821	0.144819	0.105035	0.079645	0.056469
8253-12701	1.23766063438476E+018	157.05873534	42.96814806	GALAXY	19.030447	17.060755	16.362185	15.988955	15.67447	0	0	0	0	0	0.048441	0.035642	0.025851	0.019602	0.013898
8263-12701	1.23766187347778E+018	186.39473599	45.43165686	GALAXY	17.180872	15.835627	15.247678	14.863272	14.558471	0	0	0	0.040128	0.0703	0.071916	0.052915	0.038379	0.029101	0.020633
8254-12701	1.23766063438614E+018	161.16964435	44.06613724	GALAXY	17.045633	15.594815	14.859987	14.482689	14.111593	0.070973	0.118423	0.18116	0.218716	0.256047	0.09167	0.06745	0.04892	0.037095	0.026301
8448-12701	1.23766773611128E+018	164.68252693	22.01134393	GALAXY	18.153593	16.707781	15.773667	15.357657	15.195678	1	1	1	1	1	0.096436	0.070957	0.051464	0.039023	0.027668
8548-12701	1.23765546593242E+018	244.64140588	45.74255162	GALAXY	17.915113	16.524059	15.740964	15.287759	14.859783	0.241595	0.060635	0.18658	0.241665	0.3795	0.07499	0.055177	0.040019	0.030345	0.021515
8549-12701	1.23765933084882E+018	240.47090784	45.35196944	GALAXY	17.322359	15.510127	14.789567	14.336725	14.106571	1	1	0.919398	0.9985	0.958166	0.098789	0.072688	0.052719	0.039976	0.028343
8465-12701	1.23766143484848E+018	195.9731345	47.38650045	GALAXY	15.80652	14.913678	14.37249	14.061013	13.860001	0.472664	0.317178	0.308635	0.334929	0.357164	0.07293	0.053661	0.038919	0.029511	0.020924
8552-12701	1.23766250000076E+018	226.43167321	44.40495413	GALAXY	16.666748	15.129704	14.408181	13.9728	13.470822	0.421569	0.816965	0.829875	0.855002	0.958668	0.110275	0.08114	0.058849	0.044624	0.031639
8325-12701	1.23766143592654E+018	210.17631744	45.83343115	GALAXY	17.867558	16.716679	16.25868	16.040972	15.696384	0.009490152	0.059652	0.208552	0.264741	0.471983	0.043865	0.032275	0.023409	0.01775	0.012585
8481-12701	1.23765513090748E+018	236.76123457	54.34094914	GALAXY	17.575823	16.183596	15.513564	15.109973	14.908275	1	1	1	1	1	0.05232	0.038497	0.027921	0.021172	0.015011
8555-12701	1.2376653556233E+018	245.36220291	42.76131585	GALAXY	17.763676	16.136427	15.015439	14.626093	14.365037	0.617632	0.782679	0.84187	0.842998	0.781076	0.069484	0.051126	0.037081	0.028117	0.019935
8485-12701	1.23765932923585E+018	233.31917633	48.11958862	GALAXY	17.315102	16.376038	16.02763	15.85946	15.661107	0.686099	0.339826	0.314942	0.286066	0.431915	0.079292	0.058342	0.042314	0.032086	0.022749
8551-12701	1.23766138600056E+018	231.98023495	45.67537227	GALAXY	17.662659	16.213921	15.579083	15.183932	14.917912	0.016608	0.271703	0.429084	0.527004	0.675674	0.079756	0.058684	0.042562	0.032274	0.022883
8484-12701	1.237655130375E+018	246.56102795	46.37084706	GALAXY	19.025923	17.208223	16.203535	15.796307	15.611048	1	1	1	1	1	0.055044	0.040501	0.029374	0.022274	0.015792
8447-12701	1.23766219399738E+018	208.05468267	39.50149397	GALAXY	17.261665	16.081877	15.603831	15.258357	14.970463	0	0	0.025228	0.117096	0.260259	0.086102	0.063353	0.045949	0.034842	0.024703
8486-12701	1.23765933031024E+018	235.79837647	47.75366131	GALAXY	16.185753	14.709199	13.950344	13.549643	13.256902	0.804794	0.855338	0.872782	0.883495	0.947721	0.072273	0.053178	0.038569	0.029246	0.020736
8581-12701	1.23767199134253E+018	206.13122743	-0.84817866	STAR	16.902502	15.769492	15.34716	15.200431	15.156744	0	0	0	0	0	0.122925	0.090447	0.0656	0.049742	0.035268
8318-12701	1.23766187401773E+018	196.61106476	45.28901412	GALAXY	16.043348	14.513202	13.676264	13.218472	13.157106	0.810753	1	1	1	1	0.087631	0.064478	0.046765	0.03546	0.025142
8466-12701	1.23766135646546E+018	167.91901171	45.35030668	GALAXY	17.901312	16.268744	15.732887	15.398415	15.084339	0	0	0	0.059185	0.116204	0.076265	0.056115	0.0407	0.030861	0.021881
8554-12701	1.23766502597788E+018	182.28522141	35.63582406	GALAXY	17.422588	16.325985	15.569842	15.170266	14.828158	0	0.000494199	0.128023	0.197818	0.28817	0.095556	0.070309	0.050994	0.038667	0.027416
8464-12701	1.23766187401465E+018	186.44688309	45.90955003	GALAXY	16.337885	15.184905	14.628264	14.317341	14.069414	0	0	0	0	0	0.074405	0.054747	0.039707	0.030109	0.021347
8320-12701	1.23766773666467E+018	205.5485882	22.26916483	GALAXY	17.826275	17.151756	16.791252	16.593777	16.466059	0.548623	0.199945	0.218228	0.183857	0.21342	0.072546	0.053378	0.038714	0.029356	0.020814
8312-12701	1.23765932495543E+018	245.84235669	39.21538834	GALAXY	17.72613	16.703043	16.360086	16.187855	16.126884	0	0	0	0	0	0.058333	0.042921	0.03113	0.023605	0.016736
8550-12701	1.23765933031503E+018	246.35871481	39.87069463	GALAXY	15.431347	13.817093	13.093622	12.775091	12.604576	0.940215	1	1	1	1	0.05546	0.040807	0.029597	0.022442	0.015912
8335-12701	1.23766187241348E+018	215.3952822	40.35810813	GALAXY	17.495289	16.203062	15.49013	15.104533	14.744643	0.205787	0.269985	0.347084	0.376073	0.497558	0.086844	0.063899	0.046345	0.035142	0.024916
8606-12701	1.23765495267079E+018	255.02988081	37.83951368	GALAXY	16.790899	15.225797	14.555295	14.20847	14.090886	0.436824	0.592246	0.787903	0.871798	1	0.111922	0.082351	0.059728	0.04529	0.032111
7957-12701	1.2376555045714E+018	256.87415833	35.92414233	GALAXY	18.839651	17.479317	17.358383	16.927841	16.933935	0	0.096396	0	0.04202	0.027096	0.129738	0.09546	0.069235	0.052499	0.037222
8313-12701	1.2376591622741E+018	239.49185574	41.79260554	GALAXY	16.554022	15.167006	14.495513	14.110135	13.732939	0.021731	0.122984	0.255057	0.33908	0.474706	0.090285	0.066431	0.048181	0.036534	0.025903
7962-12701	1.2376593271096E+018	258.6594011	28.12080627	GALAXY	16.937883	15.878592	15.36717	15.101804	14.94189	0.245976	0.099994	0.117442	0.143092	0.238864	0.403271	0.296723	0.215208	0.163186	0.115701
8330-12701	1.23766429422282E+018	203.1963519	38.08977609	GALAXY	17.147472	16.077755	15.523652	15.213983	15.021304	0	0	0.096578	0.172847	0.26633	0.042884	0.031553	0.022885	0.017353	0.012304
8315-12701	1.2376625042916E+018	234.55398377	38.17420336	GALAXY	19.239647	17.253199	16.37413	15.9885	15.829721	1	1	1	1	1	0.080362	0.05913	0.042886	0.032519	0.023056
8604-12701	1.23766138869016E+018	245.88644532	39.12108641	GALAXY	15.428617	14.093862	13.470295	13.12429	12.790334	0.569382	0.78045	0.893365	0.923971	1	0.045761	0.033671	0.024421	0.018518	0.013129
8332-12701	1.23766187241046E+018	206.70988351	42.6513089	GALAXY	16.062704	15.271743	14.950153	14.721646	14.203826	0.507553	0.337845	0.303977	0.30074	0.49612	0.073045	0.053746	0.038981	0.029558	0.020957
7992-12701	1.23767176693082E+018	252.93833681	62.46441703	GALAXY	18.470011	16.071575	15.149343	14.674221	14.533319	1	1	1	1	1	0.140236	0.103184	0.074838	0.056747	0.040234
8603-12701	1.23765932656656E+018	248.14055132	39.13104695	GALAXY	18.166151	17.024807	16.077791	15.640251	15.419677	0.78479	1	1	1	1	0.033343	0.024534	0.017794	0.013493	0.009566413
8601-12701	1.2376553741098E+018	247.71802103	41.28614616	GALAXY	20.097767	17.813246	16.822458	16.42761	16.142376	0.991345	0.969689	1	0.935895	0.97375	0.060445	0.044475	0.032257	0.02446	0.017342
7960-12701	1.23765512877166E+018	257.13886589	31.80565126	GALAXY	15.621626	14.632756	13.91697	13.531029	13.253785	0	0	0.081707	0.135192	0.160886	0.203048	0.149401	0.108358	0.082164	0.058256
8655-12701	1.23766378419565E+018	356.09244202	0.09640656	GALAXY	17.483091	16.075274	15.550412	15.347487	15.14841	0	0.101725	0.161855	0.153121	0.204309	0.156626	0.115244	0.083584	0.063379	0.044937
8623-12701	1.23765656918531E+018	311.40145821	0.51043683	GALAXY	23.368891	19.24996	18.830212	18.434566	20.938419	1	0	0	0.036907	1	0.453727	0.333848	0.242134	0.183603	0.130177
8037-12701	1.23766105527707E+018	36.62404589	46.6796907	STAR	15.898228	14.711003	14.703356	14.135053	14.091455	0	0	1	0.38036	0.888056	0.714777	0.525926	0.381445	0.289238	0.205074
8111-12701	1.23766868153867E+018	290.3996613	38.68637683	STAR	19.085337	17.013224	16.085403	15.733918	15.542707	1	0	0	1	0	0.791866	0.582647	0.422584	0.320433	0.227191
7996-12701	1.23767202516599E+018	321.78203992	50.5244096	STAR	17.732826	15.466124	14.570194	14.074041	13.705443	0	0	0	1	1	15.180714	11.169824	8.101288	6.142962	4.355436
8662-12701	1.23767932178668E+018	33.02285765	-5.64694972	STAR	19.656218	17.198593	15.792532	14.815325	14.268586	1	1	1	0	1	0.142568	0.1049	0.076083	0.057691	0.040904
8156-12701	1.23766323874084E+018	54.39031334	0.14480644	GALAXY	19.591839	17.606224	16.651937	16.088779	15.823051	0.42022	0.730836	0.848069	1	1	0.407999	0.300202	0.217731	0.165099	0.117057
8567-12701	1.23766353133096E+018	119.25777795	49.56741796	GALAXY	15.580113	13.980174	13.500105	13.396386	12.929446	0.317184	0.214382	0.371808	0.592505	0.631918	0.219681	0.161639	0.117234	0.088895	0.063028
8077-12701	1.23765758495031E+018	40.48635282	-1.03056992	GALAXY	18.068014	16.936108	16.419569	16.203773	16.016785	0	0.031129	0.164211	0.176357	0.251456	0.163392	0.120222	0.087195	0.066117	0.046878
8078-12701	1.23766640846032E+018	40.88045765	0.30681046	GALAXY	15.863405	14.110125	13.289884	12.809136	12.446573	0.796309	0.886376	0.890479	0.941463	0.975754	0.193129	0.142103	0.103065	0.078151	0.05541
8086-12701	1.23766629948483E+018	57.13006495	-0.92057409	GALAXY	19.212255	17.65451	16.903002	16.528894	16.190598	0	0	0	0	0	0.916106	0.674062	0.488886	0.370708	0.262836
8566-12701	1.23765127295402E+018	114.88097406	39.78889187	GALAXY	19.517296	17.497946	16.420231	15.947717	15.693744	1	1	1	1	1	0.270536	0.199058	0.144373	0.109474	0.077618
8155-12701	1.2376632371297E+018	53.17147467	-1.18359478	GALAXY	16.715258	15.25412	14.549157	14.110837	13.757709	0.217172	0.310645	0.350496	0.418413	0.603186	0.687742	0.506034	0.367018	0.278299	0.197317
8678-12701	1.23767202624268E+018	329.285492	45.91678366	STAR	19.061134	17.012863	16.077168	15.681112	15.42	0	1	0.90691	0	1	1.497433	1.101797	0.799115	0.605945	0.429622
8660-12701	1.23766724486195E+018	25.30513476	-19.57258747	STAR	18.945478	16.180168	14.746211	14.240618	13.351564	0	1	1	0	1	0.064215	0.047249	0.034269	0.025985	0.018424
8696-12701	1.237671940888E+018	305.73527461	60.02262698	STAR	19.068232	16.920828	15.862804	15.400355	15.116658	0	1	0	0	1	1.163098	0.855797	0.620695	0.470654	0.3337
8102-12701	1.23765373719026E+018	93.97637435	45.01735315	STAR	17.572905	16.256254	15.871804	15.713079	15.631935	0	1	0	1	1	0.908619	0.668553	0.484891	0.367678	0.260688
8147-12701	1.23765777607098E+018	116.75956574	26.77648584	GALAXY	17.296898	16.210165	15.707795	15.45654	15.277861	0	0	0	0.008604113	0.060236	0.194862	0.143377	0.103989	0.078852	0.055907
8146-12701	1.23765711840445E+018	117.27407436	28.61945125	GALAXY	16.19182	14.870423	14.245749	13.899344	13.61563	0	0	0.043285	0.073531	0.121213	0.163325	0.120173	0.08716	0.06609	0.046859
8728-12701	1.23764996138474E+018	57.72958434	-7.0606279	GALAXY	16.223465	14.962873	14.36029	13.941085	13.721708	0.271868	0.356062	0.465116	0.584673	0.693374	0.339243	0.249612	0.181039	0.137277	0.097331
8145-12701	1.23765740133515E+018	117.01342975	28.02833043	GALAXY	18.245001	16.274294	15.456347	15.060999	14.690687	0	0	0.029338	0.017622	0.103217	0.207868	0.152947	0.11093	0.084115	0.059638
8149-12701	1.23765787807777E+018	120.27069971	26.80188546	GALAXY	17.240074	16.228588	15.716912	15.581373	15.120004	0.467463	0.425563	0.709438	0.672499	1	0.205938	0.151527	0.1099	0.083334	0.059085
8713-12701	1.2376511918875E+018	116.18212208	38.63500198	GALAXY	17.591316	16.31012	15.786017	15.377403	15.242409	0.197208	0.322837	0.370433	0.417984	0.431651	0.282288	0.207705	0.150645	0.114229	0.08099
8084-12701	1.23766630001862E+018	50.05244689	-0.54067549	GALAXY	18.442797	17.069519	16.655251	16.347931	16.373947	0	0	0	0.071099	0.055517	0.307004	0.22589	0.163835	0.124231	0.088081
